TM SOLVERS:

========================================================================================================================
Model           | Tier       | sharpSAT (s)    | Ganak (s)       | d4 Eval (s)     | d4 Comp (s)    
------------------------------------------------------------------------------------------------------------------------
asia            | no_ev      | 0.0553          | 0.7548          | 0.0018          | 0.0810         
asia            | few_ev     | 0.0506          | 0.3531          | 0.0017          | 0.0810         
asia            | much_ev    | 0.0503          | 0.0947          | 0.0018          | 0.0810         
cancer          | no_ev      | 0.0521          | 0.0975          | 0.0014          | 0.0794         
cancer          | few_ev     | 0.0552          | 0.0949          | 0.0015          | 0.0794         
cancer          | much_ev    | 0.0502          | 0.0931          | 0.0015          | 0.0794         
sachs           | no_ev      | 0.0871          | 4.1653          | 0.0068          | 0.1313         
sachs           | few_ev     | 0.0791          | 3.3061          | 0.0071          | 0.1313         
sachs           | much_ev    | 0.0685          | 1.4521          | 0.0068          | 0.1313         
alarm           | no_ev      | 0.5276          | 16.9175         | 1.0674          | 1.1827         
alarm           | few_ev     | 0.2134          | 11.9867         | 1.0062          | 1.1827         
alarm           | much_ev    | 0.0890          | 3.9222          | 1.0575          | 1.1827         
child           | no_ev      | 0.0895          | 4.8524          | 0.1753          | 0.4308         
child           | few_ev     | 0.0790          | 3.4623          | 0.2339          | 0.4308         
child           | much_ev    | 0.0665          | 1.5366          | 0.1863          | 0.4308         
water           | no_ev      | 3.3207          | 48.3594         | ERR             | TIMEOUT        
water           | few_ev     | 1.7959          | 30.2876         | ERR             | TIMEOUT        
water           | much_ev    | 0.4405          | 4.0537          | ERR             | TIMEOUT        
barley          | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
barley          | few_ev     | T/O             | T/O             | ERR             | TIMEOUT        
barley          | much_ev    | 168.3987        | T/O             | ERR             | TIMEOUT        
hailfinder      | no_ev      | 6.8104          | 73.1982         | ERR             | 23.9191        
hailfinder      | few_ev     | 1.1922          | 38.7662         | ERR             | 23.9191        
hailfinder      | much_ev    | 0.2102          | 7.1613          | ERR             | 23.9191        
win95pts        | no_ev      | 0.7504          | 19.2038         | 14.5568         | 3.8389         
win95pts        | few_ev     | 0.4127          | 11.0401         | 14.8640         | 3.8389         
win95pts        | much_ev    | 0.1216          | 2.5383          | 14.5704         | 3.8389         
andes           | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
andes           | few_ev     | T/O             | 34.0987         | ERR             | TIMEOUT        
andes           | much_ev    | 0.2649          | 9.9349          | ERR             | TIMEOUT        
link            | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
link            | few_ev     | T/O             | 33.5755         | ERR             | TIMEOUT        
link            | much_ev    | 0.6300          | 4.2143          | ERR             | TIMEOUT        
pathfinder      | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
pathfinder      | few_ev     | 90.6186         | T/O             | ERR             | TIMEOUT        
pathfinder      | much_ev    | 2.5324          | 12.7643         | ERR             | TIMEOUT        
munin2          | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
munin2          | few_ev     | T/O             | 153.8766        | ERR             | TIMEOUT        
munin2          | much_ev    | 3.1963          | 64.6946         | ERR             | TIMEOUT        
munin           | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
munin           | few_ev     | T/O             | 178.6470        | ERR             | TIMEOUT        
munin           | much_ev    | 3.0322          | 44.9326         | ERR             | TIMEOUT 



5 minuten
========================================================================================================================
Model           | Tier       | sharpSAT (s)    | Ganak (s)       | d4 Eval (s)     | d4 Comp (s)    
------------------------------------------------------------------------------------------------------------------------
andes           | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
andes           | few_ev     | T/O             | 56.4863         | ERR             | TIMEOUT        
andes           | much_ev    | 0.4591          | 15.6413         | ERR             | TIMEOUT        
link            | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
link            | few_ev     | T/O             | 46.6504         | ERR             | TIMEOUT        
link            | much_ev    | 0.5987          | 4.7303          | ERR             | TIMEOUT        
pathfinder      | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
pathfinder      | few_ev     | 32.0140         | 95.0851         | ERR             | TIMEOUT        
pathfinder      | much_ev    | 11.4506         | 51.5382         | ERR             | TIMEOUT        
munin2          | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
munin2          | few_ev     | T/O             | 164.1160        | ERR             | TIMEOUT        
munin2          | much_ev    | 2.6571          | 45.3407         | ERR             | TIMEOUT        
munin           | no_ev      | T/O             | T/O             | ERR             | TIMEOUT        
munin           | few_ev     | 35.1618         | 216.5882        | ERR             | TIMEOUT        
munin           | much_ev    | 3.9793          | 60.7717         | ERR             | TIMEOUT    




TM solvers RERUN:
========================================================================================================================
Model           | Tier       | sharpSAT (s)    | Ganak (s)       | d4 Eval (s)     | d4 Comp (s)    
------------------------------------------------------------------------------------------------------------------------
asia            | no_ev      | 0.0656          | 0.7780          | 0.0018          | 0.0922         
asia            | few_ev     | 0.0634          | 0.4911          | 0.0019          | 0.0922         
asia            | much_ev    | 0.0607          | 0.1590          | 0.0017          | 0.0922         
cancer          | no_ev      | 0.0627          | 0.1194          | 0.0015          | 0.0858         
cancer          | few_ev     | 0.0633          | 0.1199          | 0.0015          | 0.0858         
cancer          | much_ev    | 0.0622          | 0.1172          | 0.0015          | 0.0858         
sachs           | no_ev      | 0.1024          | 4.5953          | 0.0071          | 0.1887         
sachs           | few_ev     | 0.0991          | 4.2173          | 0.0072          | 0.1887         
sachs           | much_ev    | 0.0769          | 1.0014          | 0.0074          | 0.1887         
alarm           | no_ev      | 0.5300          | 17.0061         | 1.0820          | 2.5783         
alarm           | few_ev     | 0.2442          | 12.3998         | 1.0436          | 2.5783         
alarm           | much_ev    | 0.1156          | 4.2362          | 1.0463          | 2.5783         
child           | no_ev      | 0.1042          | 5.0443          | 0.2136          | 0.9974         
child           | few_ev     | 0.0852          | 2.7218          | 0.1912          | 0.9974         
child           | much_ev    | 0.0790          | 1.2797          | 0.2176          | 0.9974         
water           | no_ev      | 3.7983          | 54.3831         | T/O             | T/O            
water           | few_ev     | 1.6657          | 25.9594         | T/O             | T/O            
water           | much_ev    | 0.5725          | 5.0167          | T/O             | T/O   
barley          | no_ev      | T/O             | T/O             | T/O             | T/O            
barley          | few_ev     | T/O             | T/O             | T/O             | T/O 
barley          | much_ev    | 168.3987        | T/O             | T/O             | T/O 
hailfinder      | no_ev      | 6.3969          | 70.9234         | 277.1451        | 42.3287        
hailfinder      | few_ev     | 2.5365          | 23.5073         | 278.6358        | 42.3287        
hailfinder      | much_ev    | 0.2256          | 5.5851          | 279.9325        | 42.3287        
win95pts        | no_ev      | 0.8253          | 19.7732         | 15.4177         | 9.8872         
win95pts        | few_ev     | 0.3186          | 8.4845          | 15.6620         | 9.8872         
win95pts        | much_ev    | 0.1369          | 2.4270          | 15.5219         | 9.8872         
andes           | no_ev      | T/O             | T/O             | T/O             | T/O 
andes           | few_ev     | 262.5432 (1 TO) | 42.7530         | T/O             | T/O   
andes           | much_ev    | 0.3470          | 11.7913         | T/O             | T/O
link            | no_ev      | T/O             | T/O             | T/O             | T/O  
link            | few_ev     | 43.7727 (4 TO)  | 33.8171         | T/O             | T/O   
link            | much_ev    | 0.7580          | 5.2297          | T/O             | T/O  
pathfinder      | no_ev      | T/O             | T/O             | T/O             | T/O  
pathfinder      | few_ev     | 89.0504         | 250.3634        | T/O             | T/O            
pathfinder      | much_ev    | 9.8593          | 47.9484         | T/O             | T/O            
munin2          | no_ev      | T/O             | T/O             | T/O             | T/O 
munin2          | few_ev     | 37.8664 (4 TO)  | 164.4501        | T/O             | T/O            
munin2          | much_ev    | 2.9655          | 43.1626         | T/O             | T/O            
munin           | no_ev      | T/O             | T/O             | T/O             | T/O            
munin           | few_ev     | 60.3796 (1 TO)  | 250.9380        | T/O             | T/O            
munin           | much_ev    | 3.6435          | 51.0253         | T/O             | T/O 





tm vs reg:
explain ERR: If you removed the except Exception block, your script would not crash with a MemoryError. It would crash with a structural Python error—most likely a ValueError, IndexError, or KeyError coming from deep inside the pgmpy library.

When the script crashes with one of those errors, the program completely halts. If you were 2 hours into a 3-hour benchmark run, you would lose all your progress just because the Junction Tree algorithm stumbled on a single query.

By catching Exception and logging it as ERR, your script says: "The Junction Tree algorithm mathematically broke and threw an error, but I am going to log it and keep testing the other solvers."


==============================================================================================================
Model           | Tier       | sharpSAT (s)    | Var. Elim (s)   | Junc Tree (s)   | Sampling (s)   
--------------------------------------------------------------------------------------------------------------
asia            | no_ev      | 0.0511          | 0.0003          | 0.0068          | 0.0151         
asia            | few_ev     | 0.0505          | 0.0003          | 0.0068          | 0.0194         
asia            | much_ev    | 0.0500          | 0.0003          | 0.0067          | 0.0290         
cancer          | no_ev      | 0.0502          | 0.0002          | 0.0027          | 0.0094         
cancer          | few_ev     | 0.0506          | 0.0003          | 0.0028          | 0.0110         
cancer          | much_ev    | 0.0506          | 0.0003          | 0.0030          | 0.0138         
sachs           | no_ev      | 0.0887          | 0.0005          | ERR             | 0.0220         
sachs           | few_ev     | 0.0815          | 0.0005          | ERR             | 0.0741         
sachs           | much_ev    | 0.0623          | 0.0006          | ERR             | 0.3696         
alarm           | no_ev      | 0.4736          | 0.0005          | MEM_OUT         | 0.0507         
alarm           | few_ev     | 0.2153          | 0.0010          | ERR             | 1.1121         
alarm           | much_ev    | 0.1033          | 0.0012          | ERR             | T/O            
child           | no_ev      | 0.0999          | 0.0003          | 0.0524          | 0.0329         
child           | few_ev     | 0.0833          | 0.0006          | 0.0535          | 0.8053         
child           | much_ev    | 0.0720          | 0.0005          | 0.0527          | 16.2739        
water           | no_ev      | 3.5962          | 0.0005          | MEM_OUT         | 0.0569         
water           | few_ev     | 1.0987          | 0.0019          | MEM_OUT         | 0.2426         
water           | much_ev    | 0.4385          | 0.0014          | MEM_OUT         | 8.9017         
barley          | no_ev      | T/O             | 0.0004          | MEM_OUT         | 0.3903         
barley          | few_ev     | T/O             | 0.0022          | MEM_OUT         | T/O            
barley          | much_ev    | T/O             | 0.0020          | MEM_OUT         | T/O            
hailfinder      | no_ev      | 7.0197          | 0.0005          | MEM_OUT         | 0.0962         
hailfinder      | few_ev     | 0.5769          | 0.0011          | MEM_OUT         | T/O            
hailfinder      | much_ev    | 0.1835          | 0.0015          | MEM_OUT         | T/O            
win95pts        | no_ev      | 0.7870          | 0.0007          | MEM_OUT         | 0.1003         
win95pts        | few_ev     | 0.2161          | 0.0024          | ERR             | 0.8183         
win95pts        | much_ev    | 0.1115          | 0.0028          | ERR             | 1.5135          
andes           | no_ev      | T/O             | 0.0061          | ERR             | 0.3043         
andes           | few_ev     | 264.2320        | 0.0124          | ERR             | T/O            
andes           | much_ev    | 0.3179          | 0.0075          | ERR             | T/O            
link            | no_ev      | T/O             | 0.0004          | ERR             | 1.0616         
link            | few_ev     | T/O             | 0.4540          | ERR             | MEM_OUT        
